date,equity,s1_qqq_tqqq,s2_spy_spxl,s3_smh_soxl,s4_gld,s1_state,s2_state,s3_state
2000-05-05,100000.0,30000.0,30000.0,30000.0,10000.0,cash,cash,cash
2000-05-08,99916.47,30000.0,30000.0,30000.0,9916.47,cash,cash,cash
2000-05-09,99939.06,30000.0,30000.0,30000.0,9939.06,cash,cash,cash
2000-05-10,99956.98,30000.0,30000.0,30000.0,9956.98,cash,cash,cash
2000-05-11,99892.45,30000.0,30000.0,30000.0,9892.45,cash,cash,cash
2000-05-12,99899.62,30000.0,30000.0,30000.0,9899.62,cash,cash,cash
2000-05-15,99881.7,30000.0,30000.0,30000.0,9881.7,cash,cash,cash
2000-05-16,99878.11,30000.0,30000.0,30000.0,9878.11,cash,cash,cash
2000-05-17,99799.25,30000.0,30000.0,30000.0,9799.25,cash,cash,cash
2000-05-18,99799.25,30000.0,30000.0,30000.0,9799.25,cash,cash,cash
2000-05-19,99831.51,30000.0,30000.0,30000.0,9831.51,cash,cash,cash
2000-05-22,99885.28,30000.0,30000.0,30000.0,9885.28,cash,cash,cash
2000-05-23,99835.1,30000.0,30000.0,30000.0,9835.1,cash,cash,cash
2000-05-24,99806.42,30000.0,30000.0,30000.0,9806.42,cash,cash,cash
2000-05-25,99688.12,30000.0,30000.0,30000.0,9688.12,cash,cash,cash
2000-05-26,99752.64,30000.0,30000.0,30000.0,9752.64,cash,cash,cash
2000-05-30,99784.91,30000.0,30000.0,30000.0,9784.91,cash,cash,cash
2000-05-31,99756.23,30000.0,30000.0,30000.0,9756.23,cash,cash,cash
2000-06-01,99779.53,30000.0,30000.0,30000.0,9779.53,cash,cash,cash
2000-06-02,100087.11,30000.0,30000.0,30000.0,10087.11,cash,cash,cash
2000-06-05,100234.09,30000.0,30000.0,30000.0,10234.09,cash,cash,cash
2000-06-06,100371.03,30000.0,30000.0,30000.0,10371.03,cash,cash,cash
2000-06-07,100297.54,30000.0,30000.0,30000.0,10297.54,cash,cash,cash
2000-06-08,100197.17,30000.0,30000.0,30000.0,10197.17,cash,cash,cash
2000-06-09,100175.66,30000.0,30000.0,30000.0,10175.66,cash,cash,cash
2000-06-12,100279.62,30000.0,30000.0,30000.0,10279.62,cash,cash,cash
2000-06-13,100243.77,30000.0,30000.0,30000.0,10243.77,cash,cash,cash
2000-06-14,100458.86,30000.0,30000.0,30000.0,10458.86,cash,cash,cash
2000-06-15,100390.75,30000.0,30000.0,30000.0,10390.75,cash,cash,cash
2000-06-16,100369.24,30000.0,30000.0,30000.0,10369.24,cash,cash,cash
2000-06-19,100261.7,30000.0,30000.0,30000.0,10261.7,cash,cash,cash
2000-06-20,100259.9,30000.0,30000.0,30000.0,10259.9,cash,cash,cash
2000-06-21,100259.9,30000.0,30000.0,30000.0,10259.9,cash,cash,cash
2000-06-22,100240.19,30000.0,30000.0,30000.0,10240.19,cash,cash,cash
2000-06-23,100152.36,30000.0,30000.0,30000.0,10152.36,cash,cash,cash
2000-06-26,100181.04,30000.0,30000.0,30000.0,10181.04,cash,cash,cash
2000-06-27,100254.53,30000.0,30000.0,30000.0,10254.53,cash,cash,cash
2000-06-28,100496.5,30000.0,30000.0,30000.0,10496.5,cash,cash,cash
2000-06-29,100365.66,30000.0,30000.0,30000.0,10365.66,cash,cash,cash
2000-06-30,100399.71,30000.0,30000.0,30000.0,10399.71,cash,cash,cash
2000-07-03,100320.85,30000.0,30000.0,30000.0,10320.85,cash,cash,cash
2000-07-05,100186.41,30000.0,30000.0,30000.0,10186.41,cash,cash,cash
2000-07-06,100163.11,30000.0,30000.0,30000.0,10163.11,cash,cash,cash
2000-07-07,100168.49,30000.0,30000.0,30000.0,10168.49,cash,cash,cash
2000-07-10,100179.24,30000.0,30000.0,30000.0,10179.24,cash,cash,cash
2000-07-11,100127.26,30000.0,30000.0,30000.0,10127.26,cash,cash,cash
2000-07-12,100064.53,30000.0,30000.0,30000.0,10064.53,cash,cash,cash
2000-07-13,100046.6,30000.0,30000.0,30000.0,10046.6,cash,cash,cash
2000-07-14,100086.04,30000.0,30000.0,30000.0,10086.04,cash,cash,cash
2000-07-17,100164.9,30000.0,30000.0,30000.0,10164.9,cash,cash,cash
2000-07-18,100132.64,30000.0,30000.0,30000.0,10132.64,cash,cash,cash
2000-07-19,100007.17,30000.0,30000.0,30000.0,10007.17,cash,cash,cash
2000-07-20,100046.6,30000.0,30000.0,30000.0,10046.6,cash,cash,cash
2000-07-21,100050.19,30000.0,30000.0,30000.0,10050.19,cash,cash,cash
2000-07-24,100010.75,30000.0,30000.0,30000.0,10010.75,cash,cash,cash
2000-07-25,100007.17,30000.0,30000.0,30000.0,10007.17,cash,cash,cash
2000-07-26,100028.68,30000.0,30000.0,30000.0,10028.68,cash,cash,cash
2000-07-27,99983.87,30000.0,30000.0,30000.0,9983.87,cash,cash,cash
2000-07-28,99980.28,30000.0,30000.0,30000.0,9980.28,cash,cash,cash
2000-07-31,99939.06,30000.0,30000.0,30000.0,9939.06,cash,cash,cash
2000-08-01,99942.64,30000.0,30000.0,30000.0,9942.64,cash,cash,cash
2000-08-02,99949.81,30000.0,30000.0,30000.0,9949.81,cash,cash,cash
2000-08-03,99822.55,30000.0,30000.0,30000.0,9822.55,cash,cash,cash
2000-08-04,99795.66,30000.0,30000.0,30000.0,9795.66,cash,cash,cash
2000-08-07,99813.59,30000.0,30000.0,30000.0,9813.59,cash,cash,cash
2000-08-08,99795.66,30000.0,30000.0,30000.0,9795.66,cash,cash,cash
