date,total_equity,eq_target,gld_target,QQQ→TQQQ_pre,QQQ→TQQQ_delta,SPY→SPXL_pre,SPY→SPXL_delta,SMH→SOXL_pre,SMH→SOXL_delta,GLD_pre,GLD_delta
2001-01-02,99637.93,29891.38,9963.79,30000.0,-108.62,30000.0,-108.62,30000.0,-108.62,9637.93,325.86
2002-01-02,100008.54,30002.56,10000.85,29891.38,111.18,29891.38,111.18,29891.38,111.18,10334.4,-333.55
2003-01-02,96158.38,28847.51,9615.84,30002.56,-1155.05,23757.72,5089.79,30002.56,-1155.05,12395.54,-2779.7
2004-01-02,114370.85,34311.26,11437.09,27286.58,7024.68,46687.29,-12376.04,28847.51,5463.74,11549.47,-112.38
2005-01-03,231469.27,69440.78,23146.93,36652.74,32788.04,37767.73,31673.05,34311.26,35129.52,122737.54,-99590.61
2006-01-03,245294.57,73588.37,24529.46,64177.09,9411.28,77481.44,-3893.07,75054.79,-1466.42,28581.24,-4051.78
2007-01-03,247597.81,74279.34,24759.78,73024.48,1254.86,99724.98,-25445.64,46089.03,28190.31,28759.31,-3999.53
2008-01-02,277859.68,83357.9,27785.97,105028.7,-21670.8,70005.27,13352.63,69089.11,14268.79,33736.59,-5950.62
2009-01-02,227219.53,68165.86,22721.95,69412.5,-1246.64,68574.98,-409.13,60997.5,7168.36,28234.55,-5512.6
2010-01-04,299833.81,89950.14,29983.38,105925.7,-15975.55,96809.51,-6859.37,68165.86,21784.28,28932.74,1050.64
2011-01-03,408379.02,122513.71,40837.9,125859.54,-3345.83,108677.55,13836.15,136157.9,-13644.19,37684.03,3153.87
2012-01-03,377307.85,113192.35,37730.78,123442.23,-10249.87,101200.72,11991.63,106523.99,6668.36,46140.91,-8410.13
2013-01-02,478666.1,143599.83,47866.61,152600.76,-9000.93,164629.08,-21029.25,121951.07,21648.76,39485.2,8381.41
2014-01-02,943099.41,282929.82,94309.94,312836.45,-29906.63,283332.36,-402.54,312314.79,-29384.97,34615.8,59694.14
2015-01-02,1303744.16,391123.25,130374.42,419432.37,-28309.13,336991.4,54131.85,456143.46,-65020.21,91176.93,39197.48
2016-01-04,1227505.57,368251.67,122750.56,388771.78,-20520.11,357360.75,10890.92,363786.93,4464.75,117586.11,5164.44
2017-01-03,1393947.53,418184.26,139394.75,328051.36,90132.9,504131.41,-85947.15,429971.06,-11786.8,131793.7,7601.05
2018-01-02,2401207.72,720362.32,240120.77,936046.06,-215683.75,713987.67,6374.65,593255.52,127106.8,157918.47,82202.3
2019-01-02,2291201.34,687360.4,229120.13,784625.65,-97265.25,630660.26,56700.14,643123.95,44236.45,232791.48,-3671.34
2020-01-02,3910629.36,1173188.81,391062.94,1335682.61,-162493.8,1159018.22,14170.59,1144092.69,29096.12,271835.85,119227.09
2021-01-04,5014483.57,1504345.07,501448.36,1543551.76,-39206.7,1188540.45,315804.62,1787063.07,-282718.0,495328.28,6120.08
2022-01-03,7586433.74,2275930.12,758643.37,1963001.48,312928.64,3175261.43,-899331.31,1985225.61,290704.52,462945.22,295698.15
2023-01-03,5638183.71,1691455.11,563818.37,1509529.21,181925.9,1879362.04,-187906.92,1478345.3,213109.81,770947.16,-207128.79
2024-01-02,7996730.62,2399019.19,799673.06,3626022.28,-1227003.1,2050634.97,348384.22,1691455.11,707564.07,628618.26,171054.8
2025-01-02,11626225.75,3487867.73,1162622.58,4234255.62,-746387.89,3963925.34,-476057.62,2399019.19,1088848.54,1029025.6,133596.97
2026-01-02,17450384.96,5235115.49,1745038.5,5039419.29,195696.2,4644358.08,590757.41,5879844.82,-644729.33,1886762.77,-141724.27
