sleeve,vehicle,entry_date,entry_price,exit_date,exit_price,pnl_pct,hold_days,exit_reason
SPY→SPXL,SPXL,2002-03-22,7.6712,2002-04-10,7.3392,-4.328,19,wma_cross_below
SPY→SPXL,SPY_DEF,2002-04-10,72.4782,2002-07-17,59.9886,-17.2321,98,def_stop(18%)
QQQ→TQQQ,TQQQ,2003-09-04,0.2724,2003-09-26,0.233,-14.4705,22,stop_loss(12%)
QQQ→TQQQ,QQQ_DEF,2003-09-26,27.8166,2004-06-02,30.9322,11.2008,250,def_to_vehicle
QQQ→TQQQ,TQQQ,2004-06-02,0.3031,2004-07-19,0.2573,-15.1378,47,stop_loss(12%)
SPY→SPXL,SPXL,2003-05-16,3.5764,2004-07-27,5.5524,55.2484,438,wma_cross_below
SPY→SPXL,SPY_DEF,2004-07-27,73.1037,2004-09-15,75.9528,3.8973,50,def_to_vehicle
SPY→SPXL,SPXL,2004-09-15,5.9955,2004-09-29,5.9102,-1.4226,14,wma_cross_below
SPY→SPXL,SPY_DEF,2004-09-29,74.862,2004-10-05,76.6391,2.3739,6,def_to_vehicle
SPY→SPXL,SPXL,2004-10-05,6.2377,2004-10-18,5.8723,-5.8581,13,wma_cross_below
SPY→SPXL,SPY_DEF,2004-10-18,74.6466,2004-11-05,78.7933,5.5551,18,def_to_vehicle
QQQ→TQQQ,QQQ_DEF,2004-07-19,29.4262,2004-11-08,32.1083,9.1147,112,def_to_vehicle
QQQ→TQQQ,TQQQ,2004-11-08,0.33,2005-03-23,0.2886,-12.5296,135,stop_loss(12%)
SPY→SPXL,SPXL,2004-11-05,6.7802,2005-05-02,6.7537,-0.391,178,wma_cross_below
SPY→SPXL,SPY_DEF,2005-05-02,79.0446,2005-05-05,80.1342,1.3785,3,def_to_vehicle
QQQ→TQQQ,QQQ_DEF,2005-03-23,30.8267,2005-05-27,32.5863,5.7079,65,def_to_vehicle
QQQ→TQQQ,TQQQ,2005-05-27,0.3336,2005-07-06,0.3009,-9.7988,40,wma_cross_below
QQQ→TQQQ,QQQ_DEF,2005-07-06,31.6587,2005-07-13,32.7701,3.5106,7,def_to_vehicle
SPY→SPXL,SPXL,2005-05-05,6.9387,2005-10-14,7.2513,4.5055,162,wma_cross_below
SMH→SOXL,SOXL,2005-05-20,2.5204,2005-11-01,2.3263,-7.7006,165,wma_cross_below
SPY→SPXL,SPY_DEF,2005-10-14,81.1091,2005-11-08,83.739,3.2424,25,def_to_vehicle
SMH→SOXL,SMH_DEF,2005-11-01,9.1556,2005-11-28,10.2972,12.4682,27,def_to_vehicle
SMH→SOXL,SOXL,2005-11-28,3.2541,2006-03-10,2.8104,-13.6357,102,stop_loss(12%)
QQQ→TQQQ,TQQQ,2005-07-13,0.3376,2006-05-23,0.3307,-2.0279,314,wma_cross_below
SPY→SPXL,SPXL,2005-11-08,7.8894,2006-06-14,8.2141,4.1155,218,wma_cross_below
SMH→SOXL,SMH_DEF,2006-03-10,9.9246,2006-07-24,8.1151,-18.2325,136,def_stop(18%)
SPY→SPXL,SPY_DEF,2006-06-14,85.1346,2006-08-11,88.525,3.9824,58,def_to_vehicle
QQQ→TQQQ,QQQ_DEF,2006-05-23,33.6699,2006-09-29,35.1117,4.2821,129,def_to_vehicle
