date,equity,s1_qqq_tqqq,s2_spy_spxl,s3_gld,s1_state,s2_state
2000-01-03,100000.0,45000.0,45000.0,10000.0,cash,cash
2000-01-04,99773.36,45000.0,45000.0,9773.36,cash,cash
2000-01-05,99723.18,45000.0,45000.0,9723.18,cash,cash
2000-01-06,99731.14,45000.0,45000.0,9731.14,cash,cash
2000-01-07,99749.13,45000.0,45000.0,9749.13,cash,cash
2000-01-10,99739.79,45000.0,45000.0,9739.79,cash,cash
2000-01-11,99805.54,45000.0,45000.0,9805.54,cash,cash
2000-01-12,99774.39,45000.0,45000.0,9774.39,cash,cash
2000-01-13,99835.64,45000.0,45000.0,9835.64,cash,cash
2000-01-14,99826.99,45000.0,45000.0,9826.99,cash,cash
2000-01-18,99987.89,45000.0,45000.0,9987.89,cash,cash
2000-01-19,100017.99,45000.0,45000.0,10017.99,cash,cash
2000-01-20,99986.85,45000.0,45000.0,9986.85,cash,cash
2000-01-21,100003.46,45000.0,45000.0,10003.46,cash,cash
2000-01-24,99955.02,45000.0,45000.0,9955.02,cash,cash
2000-01-25,99891.0,45000.0,45000.0,9891.0,cash,cash
2000-01-26,99894.46,45000.0,45000.0,9894.46,cash,cash
2000-01-27,99927.34,45000.0,45000.0,9927.34,cash,cash
2000-01-28,99783.74,45000.0,45000.0,9783.74,cash,cash
2000-01-31,99800.35,45000.0,45000.0,9800.35,cash,cash
2000-02-01,99779.24,45000.0,45000.0,9779.24,cash,cash
2000-02-02,99857.44,45000.0,45000.0,9857.44,cash,cash
2000-02-03,99944.64,45000.0,45000.0,9944.64,cash,cash
2000-02-04,100906.57,45000.0,45000.0,10906.57,cash,cash
2000-02-07,100442.91,45000.0,45000.0,10442.91,cash,cash
2000-02-08,100346.02,45000.0,45000.0,10346.02,cash,cash
2000-02-09,100596.89,45000.0,45000.0,10596.89,cash,cash
2000-02-10,100967.13,45000.0,45000.0,10967.13,cash,cash
2000-02-11,100768.17,45000.0,45000.0,10768.17,cash,cash
2000-02-14,100657.44,45000.0,45000.0,10657.44,cash,cash
2000-02-15,100449.83,45000.0,45000.0,10449.83,cash,cash
2000-02-16,100467.13,45000.0,45000.0,10467.13,cash,cash
2000-02-17,100423.88,45000.0,45000.0,10423.88,cash,cash
2000-02-18,100546.71,45000.0,45000.0,10546.71,cash,cash
2000-02-22,100562.28,45000.0,45000.0,10562.28,cash,cash
2000-02-23,100384.08,45000.0,45000.0,10384.08,cash,cash
2000-02-24,100332.18,45000.0,45000.0,10332.18,cash,cash
2000-02-25,100124.57,45000.0,45000.0,10124.57,cash,cash
2000-02-28,100112.46,45000.0,45000.0,10112.46,cash,cash
2000-02-29,100107.96,45000.0,45000.0,10107.96,cash,cash
2000-03-01,100077.85,45000.0,45000.0,10077.85,cash,cash
2000-03-02,99972.32,45000.0,45000.0,9972.32,cash,cash
2000-03-03,99993.08,45000.0,45000.0,9993.08,cash,cash
2000-03-06,99961.94,45000.0,45000.0,9961.94,cash,cash
2000-03-07,100107.27,45000.0,45000.0,10107.27,cash,cash
2000-03-08,99986.16,45000.0,45000.0,9986.16,cash,cash
2000-03-09,100077.85,45000.0,45000.0,10077.85,cash,cash
2000-03-10,100000.0,45000.0,45000.0,10000.0,cash,cash
2000-03-13,100047.75,45000.0,45000.0,10047.75,cash,cash
2000-03-14,99995.85,45000.0,45000.0,9995.85,cash,cash
2000-03-15,99995.85,45000.0,45000.0,9995.85,cash,cash
2000-03-16,99913.49,45000.0,45000.0,9913.49,cash,cash
2000-03-17,99844.29,45000.0,45000.0,9844.29,cash,cash
2000-03-20,99892.04,45000.0,45000.0,9892.04,cash,cash
2000-03-21,100030.45,45000.0,45000.0,10030.45,cash,cash
2000-03-22,99965.4,45000.0,45000.0,9965.4,cash,cash
2000-03-23,99878.89,45000.0,45000.0,9878.89,cash,cash
2000-03-24,99858.13,45000.0,45000.0,9858.13,cash,cash
2000-03-27,99695.5,45000.0,45000.0,9695.5,cash,cash
2000-03-28,99666.09,45000.0,45000.0,9666.09,cash,cash
2000-03-29,99558.82,45000.0,45000.0,9558.82,cash,cash
2000-03-30,99567.47,45000.0,45000.0,9567.47,cash,cash
2000-03-31,99652.25,45000.0,45000.0,9652.25,cash,cash
2000-04-03,99624.57,45000.0,45000.0,9624.57,cash,cash
2000-04-04,99854.67,45000.0,45000.0,9854.67,cash,cash
2000-04-05,99740.48,45000.0,45000.0,9740.48,cash,cash
2000-04-06,99705.88,45000.0,45000.0,9705.88,cash,cash
2000-04-07,99695.5,45000.0,45000.0,9695.5,cash,cash
2000-04-10,99749.13,45000.0,45000.0,9749.13,cash,cash
2000-04-11,99744.64,45000.0,45000.0,9744.64,cash,cash
2000-04-12,99766.44,45000.0,45000.0,9766.44,cash,cash
2000-04-13,99750.87,45000.0,45000.0,9750.87,cash,cash
2000-04-14,99792.39,45000.0,45000.0,9792.39,cash,cash
2000-04-17,99736.33,45000.0,45000.0,9736.33,cash,cash
2000-04-18,99727.34,45000.0,45000.0,9727.34,cash,cash
2000-04-19,99715.22,45000.0,45000.0,9715.22,cash,cash
2000-04-20,99679.93,45000.0,45000.0,9679.93,cash,cash
2000-04-24,99681.66,45000.0,45000.0,9681.66,cash,cash
2000-04-25,99628.03,45000.0,45000.0,9628.03,cash,cash
2000-04-26,99538.06,45000.0,45000.0,9538.06,cash,cash
2000-04-27,99586.51,45000.0,45000.0,9586.51,cash,cash
2000-04-28,99463.67,45000.0,45000.0,9463.67,cash,cash
2000-05-01,99467.82,45000.0,45000.0,9467.82,cash,cash
2000-05-02,99541.52,45000.0,45000.0,9541.52,cash,cash
2000-05-03,99632.53,45000.0,45000.0,9632.53,cash,cash
2000-05-04,99692.73,45000.0,45000.0,9692.73,cash,cash
2000-05-05,99652.25,45000.0,45000.0,9652.25,cash,cash
2000-05-08,99571.63,45000.0,45000.0,9571.63,cash,cash
2000-05-09,99593.43,45000.0,45000.0,9593.43,cash,cash
2000-05-10,99610.73,45000.0,45000.0,9610.73,cash,cash
2000-05-11,99548.44,45000.0,45000.0,9548.44,cash,cash
2000-05-12,99555.36,45000.0,45000.0,9555.36,cash,cash
2000-05-15,99538.06,45000.0,45000.0,9538.06,cash,cash
2000-05-16,99534.6,45000.0,45000.0,9534.6,cash,cash
2000-05-17,99458.48,45000.0,45000.0,9458.48,cash,cash
2000-05-18,99458.48,45000.0,45000.0,9458.48,cash,cash
2000-05-19,99489.62,45000.0,45000.0,9489.62,cash,cash
2000-05-22,99541.52,45000.0,45000.0,9541.52,cash,cash
2000-05-23,99493.08,45000.0,45000.0,9493.08,cash,cash
2000-05-24,99465.4,45000.0,45000.0,9465.4,cash,cash
2000-05-25,99351.21,45000.0,45000.0,9351.21,cash,cash
2000-05-26,99413.49,45000.0,45000.0,9413.49,cash,cash
2000-05-30,99444.64,45000.0,45000.0,9444.64,cash,cash
2000-05-31,99416.96,45000.0,45000.0,9416.96,cash,cash
2000-06-01,99439.45,45000.0,45000.0,9439.45,cash,cash
2000-06-02,99736.33,45000.0,45000.0,9736.33,cash,cash
2000-06-05,99878.2,45000.0,45000.0,9878.2,cash,cash
2000-06-06,100010.38,45000.0,45000.0,10010.38,cash,cash
2000-06-07,99939.45,45000.0,45000.0,9939.45,cash,cash
2000-06-08,99842.56,45000.0,45000.0,9842.56,cash,cash
2000-06-09,99821.8,45000.0,45000.0,9821.8,cash,cash
2000-06-12,99922.15,45000.0,45000.0,9922.15,cash,cash
2000-06-13,99887.54,45000.0,45000.0,9887.54,cash,cash
2000-06-14,100095.16,45000.0,45000.0,10095.16,cash,cash
2000-06-15,100029.41,45000.0,45000.0,10029.41,cash,cash
2000-06-16,100008.65,45000.0,45000.0,10008.65,cash,cash
2000-06-19,99904.84,45000.0,45000.0,9904.84,cash,cash
2000-06-20,99903.11,45000.0,45000.0,9903.11,cash,cash
2000-06-21,99903.11,45000.0,45000.0,9903.11,cash,cash
2000-06-22,99884.08,45000.0,45000.0,9884.08,cash,cash
2000-06-23,99799.31,45000.0,45000.0,9799.31,cash,cash
2000-06-26,99826.99,45000.0,45000.0,9826.99,cash,cash
2000-06-27,99897.92,45000.0,45000.0,9897.92,cash,cash
