sleeve,vehicle,entry_date,entry_price,exit_date,exit_price,pnl_pct,hold_days,exit_reason
SPY->SPXL,SPXL,2002-03-22,7.6712,2002-03-27,7.5731,-1.28,5,wma_cross_below
SPY->SPXL,SPY_DEF,2002-03-27,73.7273,2002-07-11,59.5365,-19.2477,106,def_stop(18%)
XLK->TECL,TECL,2003-09-04,390.7588,2003-09-29,351.4978,-10.0474,25,stop_loss(12%)
SPY->SPXL,SPXL,2003-05-16,3.5764,2004-07-20,5.8502,63.577,431,wma_cross_below
SPY->SPXL,SPY_DEF,2004-07-20,74.0959,2004-09-07,75.4433,1.8184,49,def_to_vehicle
SPY->SPXL,SPXL,2004-09-07,6.007,2004-09-24,5.8517,-2.5846,17,wma_cross_below
SPY->SPXL,SPY_DEF,2004-09-24,74.8351,2004-10-05,76.6391,2.4107,11,def_to_vehicle
SPY->SPXL,SPXL,2004-10-05,6.2377,2004-10-14,5.7105,-8.4514,9,wma_cross_below
SPY->SPXL,SPY_DEF,2004-10-14,75.2255,2004-11-01,76.444,1.6197,18,def_to_vehicle
XLK->TECL,XLK_DEF,2003-09-29,6.9294,2004-11-02,7.5877,9.501,400,def_to_vehicle
XLK->TECL,TECL,2004-11-02,362.2851,2005-01-24,328.2784,-9.3867,83,wma_cross_below
XLK->TECL,XLK_DEF,2005-01-24,7.5772,2005-02-07,7.7728,2.5823,14,def_to_vehicle
XLK->TECL,TECL,2005-02-07,352.3805,2005-02-23,322.7396,-8.4116,16,wma_cross_below
XLK->TECL,XLK_DEF,2005-02-23,7.5656,2005-03-02,7.7038,1.8259,7,def_to_vehicle
XLK->TECL,TECL,2005-03-02,339.7642,2005-03-16,321.4881,-5.3791,14,wma_cross_below
SPY->SPXL,SPXL,2004-11-01,6.154,2005-04-19,6.6046,7.3221,169,wma_cross_below
SPY->SPXL,SPY_DEF,2005-04-19,78.384,2005-05-04,79.4395,1.3466,15,def_to_vehicle
XLK->TECL,XLK_DEF,2005-03-16,7.5772,2005-05-23,7.7037,1.6704,68,def_to_vehicle
SPY->SPXL,SPXL,2005-05-04,6.9457,2005-10-10,7.2422,4.2685,159,wma_cross_below
XLK->TECL,TECL,2005-05-23,327.209,2005-10-11,308.9925,-5.5672,141,wma_cross_below
XLK->TECL,XLK_DEF,2005-10-11,7.6923,2005-11-03,7.9608,3.4911,23,def_to_vehicle
SPY->SPXL,SPY_DEF,2005-10-10,82.1803,2005-11-03,83.8764,2.0639,24,def_to_vehicle
XLK->TECL,TECL,2005-11-03,339.0512,2006-05-17,310.985,-8.2779,195,wma_cross_below
SPY->SPXL,SPXL,2005-11-03,7.8972,2006-06-12,8.3172,5.3179,221,wma_cross_below
SPY->SPXL,SPY_DEF,2006-06-12,87.2415,2006-07-05,88.6085,1.567,23,def_to_vehicle
SPY->SPXL,SPXL,2006-07-05,9.0335,2006-07-14,8.2854,-8.2823,9,wma_cross_below
SPY->SPXL,SPY_DEF,2006-07-14,86.4297,2006-07-31,88.8661,2.819,17,def_to_vehicle
SPY->SPXL,SPXL,2006-07-31,9.1671,2006-08-15,9.3284,1.759,15,wma_cross_below
XLK->TECL,XLK_DEF,2006-05-17,7.996,2006-08-31,8.2471,3.14,106,def_to_vehicle
SPY->SPXL,SPY_DEF,2006-08-15,89.2489,2007-09-27,108.9127,22.0325,408,def_to_vehicle
SPY->SPXL,SPXL,2007-09-27,15.9855,2007-11-09,13.4759,-15.6991,43,stop_loss(12%)
XLK->TECL,TECL,2006-08-31,323.384,2007-12-06,515.1034,59.2854,462,vol_exit(30.6%)
XLK->TECL,XLK_DEF,2007-12-06,10.4572,2008-03-11,8.6819,-16.9764,96,def_stop(18%)
SPY->SPXL,SPY_DEF,2007-11-09,103.7701,2008-09-18,85.3727,-17.7291,314,def_stop(18%)
XLK->TECL,TECL,2009-08-05,0.5431,2010-05-21,0.6252,15.1113,289,vol_exit(31.3%)
SPY->SPXL,SPXL,2009-08-05,2.8713,2010-05-21,3.2547,13.3504,289,vol_exit(30.1%)
XLK->TECL,XLK_DEF,2010-05-21,8.4774,2010-09-23,9.1987,8.5077,125,def_to_vehicle
SPY->SPXL,SPY_DEF,2010-05-21,79.7869,2010-09-29,87.0413,9.0922,131,def_to_vehicle
SPY->SPXL,SPXL,2010-09-29,4.0195,2011-08-03,5.3128,32.1761,308,wma_cross_below
XLK->TECL,TECL,2010-09-23,0.7021,2011-08-08,0.7467,6.3481,319,wma_cross_below
SPY->SPXL,SPY_DEF,2011-08-03,97.0243,2012-01-13,100.4723,3.5537,163,def_to_vehicle
