wma,sma,final_eq,cagr,max_dd,sharpe,trades,score
5,100,3914136.956256694,15.012936036459902,-52.452244637842185,0.5857077382765633,89,0.2862210404934448
5,125,6049901.324003169,16.93912883938713,-53.47006470339481,0.632515948939354,69,0.31679649039795654
5,150,11905238.794666281,19.99779937348638,-49.63931648198095,0.703669287478289,49,0.40286210187333205
5,175,29227762.889572732,24.179796381266417,-50.80869387880779,0.8079635236209198,43,0.47589879871625207
5,200,25902677.162296783,23.609072640740635,-45.18035920171878,0.8146183251151218,43,0.5225516808162624
5,225,12715653.36319056,20.299596635593574,-45.36823542005878,0.7403955973577646,44,0.44744073574037346
5,250,23007504.535202477,23.05151687376128,-45.18035920171879,0.7934229751210311,40,0.5102110138355062
10,100,6202373.1400098,17.05019899507625,-53.73879835740132,0.6330765632260837,77,0.317279126371235
10,125,13629634.716276564,20.61851828236918,-53.72026445364489,0.7136599028469838,51,0.38381267277939146
10,150,18916507.35715508,22.13602813840374,-45.18035920171877,0.7620198115718199,43,0.4899480333826481
10,175,31090430.980405316,24.472767008162364,-45.180359201718794,0.8267360244509037,37,0.5416682700307383
10,200,27496026.19665511,23.890839622492564,-45.18035920171878,0.8123000655155316,36,0.5287881735474049
10,225,25641430.328303378,23.561289113399077,-45.18035920171879,0.8014398663649642,36,0.5214940635643007
10,250,30268863.723996773,24.345686964622892,-45.18035920171878,0.8163186159297908,32,0.5388555424255396
15,100,6431570.366942992,17.212315374761,-50.245871966397296,0.6376066224075476,63,0.3425617807224443
15,125,8504521.49474494,18.46802566913808,-45.18035920171878,0.6746122720719554,43,0.4087622585443169
15,150,17460374.010267396,21.76344395419687,-45.18035920171879,0.7600033025210734,41,0.4817014370565015
15,175,30008940.914172407,24.304790568448944,-45.180359201718794,0.8228931293333548,37,0.5379503615704835
15,200,23546485.237720195,23.160247170518122,-45.18035920171879,0.7889085147817169,36,0.5126175971092555
15,225,23814311.8116257,23.213389379998752,-45.18035920171879,0.7853111680044419,32,0.5137938208139711
15,250,24770058.51225894,23.398453486287664,-45.18035920171878,0.7889058519134373,30,0.5178899393388958
20,100,8017616.662837507,18.201920921207694,-49.8389067053097,0.658372029433553,59,0.36521509247450074
20,125,8854627.736931555,18.65045796491227,-49.34270120836092,0.6887222372482081,39,0.377978049603657
20,150,25277905.98728244,23.494013386948588,-45.18035920171879,0.7980007066391414,37,0.5200050154991864
20,175,20957294.653619576,22.61423790920791,-45.18035920171879,0.784441195192772,37,0.5005324948445209
20,200,23139657.006640337,23.078401374535893,-45.18035920171879,0.7873781978884546,36,0.5108060622425934
20,225,23613140.46536184,23.17352705213076,-45.18035920171878,0.7843102684050397,32,0.5129115275216576
20,250,25833712.83994638,23.596503865535865,-45.18035920171879,0.7935520739941204,30,0.522273489685717
25,100,7555623.717601173,17.934649231238197,-45.18035920171879,0.6649212112896087,49,0.396956765021822
25,125,10232236.879636694,19.306680264092392,-50.45161129700077,0.697049470375869,37,0.38267717854315847
25,150,13438806.86871637,20.55366693715619,-45.18035920171879,0.7394954232455466,35,0.45492482353646874
25,175,22079153.748260047,22.858361221676525,-45.18035920171878,0.7824291195456756,36,0.5059358009886502
25,200,20286761.522549227,22.46225147668546,-45.18035920171879,0.766279366429175,34,0.49716850139232477
25,225,20826875.98457567,22.585046526188158,-45.18035920171878,0.7721879954824141,32,0.49988638703273
25,250,22865994.52872362,23.02256353733958,-45.18035920171878,0.7850380238175242,28,0.5095701748308309
30,100,7668021.0847295495,18.00109161386945,-45.76787710650983,0.6654556638716528,45,0.3933127938614625
30,125,10897866.522953691,19.59382290685163,-46.96701173650654,0.7039991722625074,37,0.4171826603910109
30,150,13591920.461799804,20.605770929904722,-45.18035920171879,0.7418500471978577,33,0.4560780678592042
30,175,25330831.295042906,23.5038656808781,-45.18035920171878,0.7984266991557618,34,0.5202230813601842
30,200,15988124.633020336,21.355022006082216,-45.18035920171879,0.759430970407818,32,0.47266162517074034
30,225,11418789.232808696,19.807006950967533,-45.18035920171877,0.7161291010676583,28,0.43839861614500014
30,250,21252004.204274464,22.679563866228246,-45.18035920171878,0.7781194614842777,28,0.5019783876655292
40,100,10553816.858473405,19.44757954458396,-45.18035920171879,0.6995127839923126,43,0.43044322551211855
40,125,11122121.754243026,19.686773906171375,-45.18035920171877,0.7082800524042769,35,0.43573743666523224
40,150,13807863.64163038,20.67830400271722,-45.18035920171879,0.7542385516892651,31,0.45768347946048554
40,175,20785568.346343104,22.575764037772217,-45.18035920171878,0.7874700719049138,34,0.49968093296862004
40,200,20243164.24258949,22.452202906789708,-45.18035920171877,0.7794412221254111,30,0.496946091254971
40,225,11936360.22433641,20.009749029242975,-45.18035920171877,0.7302546299604193,28,0.44288601026619895
40,250,21152886.31185778,22.657690959999634,-45.18035920171879,0.7780229833394698,28,0.5014942634439629
50,100,11896312.556680556,19.994366432249855,-45.18035920171879,0.713068641600726,41,0.4425455393787399
50,125,13535745.540182373,20.586720686175553,-45.180359201718794,0.7287498736276043,33,0.45565641907053217
50,150,13370873.787616568,20.53036644278987,-45.18035920171878,0.7522976035607909,29,0.4544091017764383
50,175,25491662.03001541,23.533684029293745,-45.18035920171879,0.8152392004206329,32,0.5208830661177758
50,200,24053408.856370877,23.26034761921132,-45.18035920171879,0.804311119909645,28,0.5148331715416382
50,225,10700156.187448476,19.510335550378024,-45.18035920171878,0.7175842860110376,28,0.4318322362881037
50,250,15376346.94019963,21.174561788161995,-45.18035920171879,0.7507559955669639,28,0.46866740686197234
